TrxNo,PlazaNo,LaneNo,EntryPlaza,JobNo,TransactionDateTime,Trx,AVC,PaymentMode,FareAmount(RM),MfgNoTagID,PaidAmount(RM),Balance,AccountType,VehicleNo,Code,Remark,PenaltyCode
77,203,K01,201,7,1/10/2025 0:00,3,3,TNG,18.4,1242557583,18.40,85.60,,,,,
77,203,K01,,7,1/10/2025 0:00,,,,0,1242557583,0.00,0.00, , ,53,TngAutorefillEnable,
25,203,M07,,3,1/10/2025 0:00,1,,ENTRY,,E2806F12200002023AE2EF38,,,3,VPP1994,,,
22,203,K05,204,3,1/10/2025 0:01,1,1,ABTC,7.2,2261571535,7.20,30.89,,,,,
20,203,K06,204,3,1/10/2025 0:01,1,1,RFID,7.2,E2806F12200088023E989A13,7.20,34.64,3,BNS3594,,,
32,203,K04,204,3,1/10/2025 0:01,1,1,TNG,7.2,1775217679,7.20,6.29,,,,,
79,203,K01,204,7,1/10/2025 0:01,1,1,TNG,7.2,2161015919,7.20,46.41,,,,,
80,203,K01,202,7,1/10/2025 0:01,3,3,TNG,11.3,1660718479,11.30,107.17,,,,,
81,203,K01,202,7,1/10/2025 0:02,3,3,TNG,11.3,1649837231,11.30,15.85,,,,,
26,203,M07,,3,1/10/2025 0:03,1,,ENTRY,,E2806F12200088023AE286CC,,,3,JYD6693,,,
21,203,K06,201,3,1/10/2025 0:04,1,1,RFID,9.2,E2806F1220002D023E9CA5AC,9.20,70.80,3,WXA2226,,,
27,203,M07,,3,1/10/2025 0:04,1,,ENTRY,,E20034120131FB0006C7A8B2,,,0,,,,
31,203,M01,,3,1/10/2025 0:04,1,,ENTRY,,1622976751,,,,,,,
23,203,K05,204,3,1/10/2025 0:05,1,1,TNG,7.2,1144538895,7.20,7.63,,,,,
28,203,M07,,3,1/10/2025 0:05,1,,ENTRY,,E28011052000750AE27F0A55,,,3,JUV5554,,,
24,203,K05,204,3,1/10/2025 0:05,1,1,TNG,7.2,1763418799,7.20,7.68,,,,,
32,203,M01,,3,1/10/2025 0:05,1,,ENTRY,,1003047439,,,,,,,
29,203,M07,,3,1/10/2025 0:05,1,,ENTRY,,E2806F12200063024150DD32,,,4,VMS4676,,,
33,203,M01,,3,1/10/2025 0:05,1,,ENTRY,,1272333903,,,,,,,
33,203,K04,201,3,1/10/2025 0:06,1,1,TNG,9.2,3377726725,9.20,6.59,,,,,
34,203,M01,,3,1/10/2025 0:07,1,,ENTRY,,1268494799,,,,,,,
40,203,M04,,3,1/10/2025 0:07,1,,ENTRY,,2241596111,,,,,,,
35,203,K04,201,3,1/10/2025 0:07,1,1,TNG,9.2,2262240527,9.20,27.78,,,,,
36,203,K04,202,3,1/10/2025 0:07,1,1,TNG,5.6,1833599119,5.60,18.75,,,,,
25,203,K05,202,3,1/10/2025 0:07,1,1,TNG,5.6,1160179855,5.60,31.02,,,,,
35,203,M01,,3,1/10/2025 0:07,1,,ENTRY,,1261678191,,,,,,,
