,,Plaza ID :,,203 - CAHAYA BARU,,,,,Transaction Inquiry,,,,06/10/2025 14:00:35,,,,
,,User Id   :,,30484,,,,,,,,,Page 1 of 1,,,,
Start Date and Time :,,,,01/10/2025,,00:00:00,,,Lane No :,ALL,Transaction Type :,ALL,,,,Job Type :,ALL
End Date and Time :,,,,02/10/2025,,00:00:00,,,Job No :,ALL,Transaction Class :,ALL,,,,,
Lane Type :,,,,ALL,,,,,Staff No :,,Mfg No :,,,,,,
"Trx
 No",Exit,,"Entry
Plaza","Job
No","Transaction 
Date & Time",Class,,"Payment
Mode","Fare 
Amount
(RM)","Account
Type",Mfg No/Tag ID,Vehicle No,"Paid 
Amount
(RM)","Penalty
Code",Balance,Exceptional,
,"Plaza
No","Lane
No",,,,Trx,AVC,,,,,,,,,Code,Remark
77,203,K01,201,7,01/10/2025 00:00:14,3,3,TNG,18.40,,1242557583,,18.40,,85.60,,
77,203,K01,,7,01/10/2025 00:00:15,,,,0.00, ,1242557583, ,0.00,,0.00,53,TngAutorefillEnable
25,203,M07,,3,01/10/2025 00:00:33,1,,ENTRY,,3,E2806F12200002023AE2EF38,VPP1994,,,,,
22,203,K05,204,3,01/10/2025 00:01:04,1,1,ABTC,7.20,,2261571535,,7.20,,30.89,,
20,203,K06,204,3,01/10/2025 00:01:04,1,1,RFID,7.20,3,E2806F12200088023E989A13,BNS3594,7.20,,34.64,,
32,203,K04,204,3,01/10/2025 00:01:04,1,1,TNG,7.20,,1775217679,,7.20,,6.29,,
79,203,K01,204,7,01/10/2025 00:01:33,1,1,TNG,7.20,,2161015919,,7.20,,46.41,,
80,203,K01,202,7,01/10/2025 00:01:48,3,3,TNG,11.30,,1660718479,,11.30,,107.17,,
81,203,K01,202,7,01/10/2025 00:02:04,3,3,TNG,11.30,,1649837231,,11.30,,15.85,,
26,203,M07,,3,01/10/2025 00:03:22,1,,ENTRY,,3,E2806F12200088023AE286CC,JYD6693,,,,,
21,203,K06,201,3,01/10/2025 00:04:11,1,1,RFID,9.20,3,E2806F1220002D023E9CA5AC,WXA2226,9.20,,70.80,,
27,203,M07,,3,01/10/2025 00:04:34,1,,ENTRY,,0,E20034120131FB0006C7A8B2,,,,,,
31,203,M01,,3,01/10/2025 00:04:40,1,,ENTRY,,,1622976751,,,,,,
23,203,K05,204,3,01/10/2025 00:05:10,1,1,TNG,7.20,,1144538895,,7.20,,7.63,,
28,203,M07,,3,01/10/2025 00:05:19,1,,ENTRY,,3,E28011052000750AE27F0A55,JUV5554,,,,,
24,203,K05,204,3,01/10/2025 00:05:26,1,1,TNG,7.20,,1763418799,,7.20,,7.68,,
32,203,M01,,3,01/10/2025 00:05:29,1,,ENTRY,,,1003047439,,,,,,
29,203,M07,,3,01/10/2025 00:05:33,1,,ENTRY,,4,E2806F12200063024150DD32,VMS4676,,,,,
33,203,M01,,3,01/10/2025 00:05:51,1,,ENTRY,,,1272333903,,,,,,
33,203,K04,201,3,01/10/2025 00:06:12,1,1,TNG,9.20,,3377726725,,9.20,,6.59,,
34,203,M01,,3,01/10/2025 00:07:08,1,,ENTRY,,,1268494799,,,,,,
40,203,M04,,3,01/10/2025 00:07:10,1,,ENTRY,,,2241596111,,,,,,
35,203,K04,201,3,01/10/2025 00:07:14,1,1,TNG,9.20,,2262240527,,9.20,,27.78,,
36,203,K04,202,3,01/10/2025 00:07:32,1,1,TNG,5.60,,1833599119,,5.60,,18.75,,
25,203,K05,202,3,01/10/2025 00:07:32,1,1,TNG,5.60,,1160179855,,5.60,,31.02,,
35,203,M01,,3,01/10/2025 00:07:44,1,,ENTRY,,,1261678191,,,,,,
82,203,K01,202,7,01/10/2025 00:07:56,3,3,TNG,11.30,,4088317327,,11.30,,294.40,,
36,203,M01,,3,01/10/2025 00:08:20,1,,ENTRY,,,1271750671,,,,,,
37,203,K04,204,3,01/10/2025 00:08:34,1,1,TNG,7.20,,1907412776,,7.20,,50.38,,
38,203,M01,,3,01/10/2025 00:08:58,1,,ENTRY,,,1158435279,,,,,,
38,203,M01,,3,01/10/2025 00:08:59,,,,0.00, ,1158435279, ,0.00,,0.00,03,"[FORCE RESET] Key Pressed, TC: 1"
41,203,M04,,3,01/10/2025 00:09:08,1,,ENTRY,,,4214289327,,,,,,
38,203,K04,204,3,01/10/2025 00:09:34,1,1,TNG,7.20,,1888675983,,7.20,,16.87,,
42,203,M04,,3,01/10/2025 00:10:29,1,,ENTRY,,,1013855695,,,,,,
53,203,M06,,3,01/10/2025 00:10:49,1,,ENTRY,,,2228135855,,,,,,
39,203,K04,202,3,01/10/2025 00:11:24,1,1,TNG,5.60,,1100534799,,5.60,,14.01,,
83,203,K01,202,7,01/10/2025 00:11:57,3,3,TNG,11.30,,1862045199,,11.30,,16.10,,
84,203,K01,202,7,01/10/2025 00:12:16,3,3,TNG,11.30,,1268774255,,11.30,,17.10,,
39,203,M01,,3,01/10/2025 00:12:46,1,,ENTRY,,,1268808495,,,,,,
40,203,M01,,3,01/10/2025 00:13:10,1,,ENTRY,,,2227631663,,,,,,
41,203,M01,,3,01/10/2025 00:13:22,1,,ENTRY,,,3182857103,,,,,,
42,203,M01,,3,01/10/2025 00:13:33,1,,ENTRY,,,4151881199,,,,,,
30,203,M07,,3,01/10/2025 00:13:39,1,,ENTRY,,3,E280110520007044E8C10ACC,VAA6650,,,,,
31,203,M07,,3,01/10/2025 00:14:07,1,,ENTRY,,3,E2806F122000E7024120B274,JXD775,,,,,
