"Trx
 No",Plaza No (Exit),Lane No (Exit),"Entry
Plaza","Job
No","Transaction 
Date & Time",Trx,AVC,"Payment
Mode","Fare 
Amount
(RM)","Account
Type",Mfg No/Tag ID,Vehicle No,"Paid 
Amount
(RM)","Penalty
Code",Balance,Exceptional
53,201,K03,204,3,1/10/2025 0:01,1,1,RFID,13.5,3,E2806F122000F4023E9933F7,JUS4831,13.5,,"1,671.80",
54,201,K03,202,3,1/10/2025 0:07,1,1,RFID,4.5,3,E2806F122000B00241228C94,JWQ1492,4.5,,117.88,
55,201,K03,202,3,1/10/2025 0:07,1,1,RFID,4.5,3,E2801105200077819D830A1C,VAW6886,4.5,,212.44,
56,201,K03,202,3,1/10/2025 0:31,1,1,RFID,4.5,3,E280110520007109E2AA0A55,JPH5112,4.5,,12.71,
57,201,K03,202,3,1/10/2025 0:35,1,1,RFID,4.5,3,E280110520007192CA630A55,JRG6903,4.5,,7.19,
58,201,K03,202,3,1/10/2025 0:41,1,1,RFID,4.5,3,E280110520007B91E9650ACC,JRA3949,4.5,,104.88,
59,201,K03,202,3,1/10/2025 0:42,1,1,RFID,4.5,3,E28011052000748EC86B0A55,JMQ1117,4.5,,75.5,
60,201,K03,203,3,1/10/2025 0:45,1,1,RFID,9.2,3,E28011052000754DA7CE0AD1,JRW6193,9.2,,100.28,
61,201,K03,203,3,1/10/2025 0:52,1,1,RFID,9.2,3,E28011052000748AC9E50A55,WUU9535,9.2,,145.51,
62,201,K03,202,3,1/10/2025 0:53,1,1,RFID,4.5,3,E28011052000709DE9230ACC,SK5041F,4.5,,8.15,
63,201,K03,202,3,1/10/2025 0:54,1,1,RFID,4.5,3,E280110520007706CA4D0A55,VAR2099,4.5,,109.18,
64,201,K03,204,3,1/10/2025 0:57,1,1,RFID,13.5,3,E2801105200072D3C4EE0A55,JUT1768,13.5,,0.67,
65,201,K03,204,3,1/10/2025 0:59,1,1,RFID,13.5,3,E280110520007049F4750ACE,BMK8622,13.5,,66.5,
67,201,K03,204,3,1/10/2025 1:52,1,1,RFID,13.5,3,E2806F12200067023AEF1720,QM4690S,13.5,,49.44,
68,201,K03,202,3,1/10/2025 1:55,1,1,RFID,4.5,3,E2806F1220002502413ABF76,VJJ6013,4.5,,32.79,
69,201,K03,204,3,1/10/2025 2:06,1,1,RFID,13.5,3,E28011052000738A19BB0A56,JUP8486,13.5,,229.57,
70,201,K03,204,3,1/10/2025 2:17,1,1,RFID,13.5,3,E2806F12200058024150DF58,Jun-39,13.5,,66.5,
71,201,K03,202,3,1/10/2025 2:28,1,1,RFID,4.5,3,E2806F122000F902413ABD3D,JQF2689,4.5,,75.5,
72,201,K03,202,3,1/10/2025 2:53,1,1,RFID,4.5,3,E2806F122000EB0241334275,JXT5336,4.5,,91.45,
74,201,K03,204,3,1/10/2025 3:17,1,1,RFID,13.5,3,E2806F1220004C023E9BE95E,WSX6395,13.5,,66.5,
75,201,K03,204,3,1/10/2025 3:27,1,1,RFID,13.5,3,E280110520007513E21C0A55,JTG8807,13.5,,66.5,
76,201,K03,204,3,1/10/2025 3:52,1,1,RFID,13.5,3,E2806F122000E2024249FACA,SWH8881,13.5,,144.18,
77,201,K03,202,3,1/10/2025 3:55,1,1,RFID,4.5,3,E2806F122000A00241307A96,QCH1827,4.5,,395.05,
