"Trx
 No",Plaza No (Exit),Lane No (Exit),"Entry
Plaza","Job
No","Transaction 
Date & Time",Trx,AVC,"Payment
Mode","Fare 
Amount
(RM)","Account
Type",Mfg No/Tag ID,Vehicle No,"Paid 
Amount
(RM)","Penalty
Code",Balance,Exceptional
66,202,K06,201,3,1/10/2025 0:03,1,1,RFID,4.5,3,E280110520007A4DF98E0ACE,JWG9513,4.5,,75.5,
67,202,K06,201,3,1/10/2025 0:05,1,1,RFID,4.5,3,E2801105200070D4CA050A55,JTQ277,4.5,,89.91,
68,202,K06,201,3,1/10/2025 0:05,1,1,RFID,4.5,3,E280110520007B04C85C0A55,AHS6773,4.5,,"1,286.05",
69,202,K06,201,3,1/10/2025 0:16,1,1,RFID,4.5,3,E280110520007516A7CF0AD1,UR5774,4.5,,118.13,
70,202,K06,201,3,1/10/2025 0:17,1,1,RFID,4.5,3,E280110520007A9BCA030A55,JVC5833,4.5,,116.76,
71,202,K06,201,3,1/10/2025 0:20,1,1,RFID,4.5,3,E20034120132030008704C01,JTM6520,4.5,,29.29,
72,202,K06,201,3,1/10/2025 0:21,1,1,RFID,4.5,3,E2806F122000650241221413,VHX5605,4.5,,75.5,
73,202,K06,204,3,1/10/2025 0:23,1,1,RFID,9.9,3,E2801105200072C4191E0A56,WWT8960,9.9,,28.7,
74,202,K06,201,3,1/10/2025 0:24,1,1,RFID,4.5,3,E2806F122000270242447360,JXQ3361,4.5,,197.49,
75,202,K06,203,3,1/10/2025 0:26,1,1,RFID,5.6,3,E2806F122000E7024120B274,JXD775,5.6,,32.63,
76,202,K06,201,3,1/10/2025 0:31,1,1,RFID,4.5,3,E2806F12200035023E9BB1C2,JUR9771,4.5,,75.5,
77,202,K06,204,3,1/10/2025 0:36,1,1,RFID,9.9,3,E2806F1220003002424EB928,JXP6049,9.9,,25.42,
78,202,K06,201,3,1/10/2025 0:40,1,1,RFID,4.5,3,E280110520007251E1380A55,JTP2600,4.5,,167.83,
79,202,K06,201,3,1/10/2025 0:47,1,1,RFID,4.5,3,E28011052000729DF5E80AD3,WC9408C,4.5,,256.26,
80,202,K06,201,3,1/10/2025 0:48,1,1,RFID,4.5,3,E280110520007702C95D0A55,BPM4966,4.5,,75.5,
81,202,K06,204,3,1/10/2025 1:17,1,1,RFID,9.9,3,E2806F12200088023AE286CC,JYD6693,9.9,,90.2,
82,202,K06,204,3,1/10/2025 1:41,1,1,RFID,9.9,3,E2C06A12200036022CC0424A,SKD7827J,9.9,,70.1,
83,202,K06,204,3,1/10/2025 1:43,1,1,RFID,9.9,3,E2801105200076D50C1C0A5A,JQY6798,9.9,,1.74,
84,202,K06,204,3,1/10/2025 1:43,1,1,RFID,9.9,3,E28011052000759AE1920A55,JJD7695,9.9,,70.1,
85,202,K06,201,3,1/10/2025 1:45,1,1,RFID,4.5,3,E28011052000759BC9980A55,JUX6196,4.5,,142.99,
86,202,K06,201,3,1/10/2025 1:58,1,1,RFID,4.5,3,E28011052000731AE0CE0A55,JPM1846,4.5,,95.46,
87,202,K06,201,3,1/10/2025 2:09,1,1,RFID,4.5,3,E2806F122000C902423DB11D,JHY5225,4.5,,63.45,
88,202,K06,201,3,1/10/2025 3:59,1,1,RFID,4.5,3,E280110520007982E8590ACC,QS3070R,4.5,,17,
89,202,K06,204,3,1/10/2025 5:54,1,1,RFID,9.9,3,E2806F1220009D02424EB19C,JYG4195,9.9,,70.1,
90,202,K06,201,3,1/10/2025 5:55,1,1,RFID,4.5,3,E2806F1220007302412D7389,RAW8017,4.5,,20.35,
91,202,K06,203,3,1/10/2025 5:56,1,1,RFID,5.6,3,E280110520007345FA180ACE,JWD2050,5.6,,75.6,
1,202,K06,201,1,1/10/2025 6:06,1,1,RFID,4.5,3,E280110520007A8DF8900ACE,JUD9949,4.5,,124.24,
2,202,K06,204,1,1/10/2025 6:13,1,1,RFID,9.9,3,E280110520007043F4BF0ACE,JWP9282,9.9,,70.1,
3,202,K06,203,1,1/10/2025 6:20,1,1,RFID,5.6,3,E2806F12200084023E98713B,VMD3009,5.6,,74.4,
4,202,K06,201,1,1/10/2025 6:23,1,1,RFID,4.5,3,E280110520007B0DF9FC0ACE,QRP9011,4.5,,45.64,
5,202,K06,203,1,1/10/2025 6:26,1,1,RFID,5.6,3,E28011052000765CB8DF0AD1,ALB4185,5.6,,74.4,
6,202,K06,201,1,1/10/2025 6:29,1,1,RFID,4.5,3,E28011052000748AE85C0ACC,SD3375X,4.5,,75.5,
7,202,K06,204,1,1/10/2025 6:30,1,1,RFID,9.9,3,E2806F122000E6024245098C,UTM7068,9.9,,136.83,
8,202,K06,201,1,1/10/2025 6:31,1,1,RFID,4.5,3,E2806F122000CA02424F877B,JMN7288,4.5,,61.97,
9,202,K06,201,1,1/10/2025 6:32,1,1,RFID,4.5,3,E28011052000764519BB0A56,QQ8511,4.5,,"1,140.74",
10,202,K06,203,1,1/10/2025 6:33,1,1,RFID,5.6,3,E28011052000771AE1830A55,NDE5938,5.6,,74.4,
11,202,K06,201,1,1/10/2025 6:33,1,1,RFID,4.5,3,E280110520007903E9010ACC,JWQ3126,4.5,,180.13,
12,202,K06,203,1,1/10/2025 6:34,1,1,RFID,5.6,3,E2806F122000F0024120C68D,JXH2790,5.6,,74.4,
13,202,K06,204,1,1/10/2025 6:35,1,1,RFID,9.9,3,E280110520007454C9860A55,JQF1040,9.9,,70.1,
14,202,K06,203,1,1/10/2025 6:36,1,1,RFID,5.6,3,E2806F122000D002424E7E53,JXL6129,5.6,,155.31,
16,202,K06,201,1,1/10/2025 6:39,1,1,RFID,4.5,3,E2801105200070D9E1450A55,JTF3820,4.5,,75.5,
17,202,K06,204,1,1/10/2025 6:41,1,1,RFID,9.9,3,E2806F122000F4024121925E,VMP5821,9.9,,92.18,
18,202,K06,203,1,1/10/2025 6:41,1,1,RFID,5.6,3,E28011052000724DC5240A55,JPM4552,5.6,,128.81,
19,202,K06,201,1,1/10/2025 6:44,1,1,RFID,4.5,3,E28011052000764CE87C0ACC,JRE5002,4.5,,64.84,
20,202,K06,204,1,1/10/2025 6:45,1,1,RFID,9.9,3,E28011052000754DE2E20A55,JTU8475,9.9,,92.58,
21,202,K06,203,1,1/10/2025 6:45,1,1,RFID,5.6,3,E280110520007491E17B0A55,TBF4222,5.6,,74.4,
22,202,K06,201,1,1/10/2025 6:45,1,1,RFID,4.5,3,E2806F122000CF0241332A66,VCS5033,4.5,,447.52,
23,202,K06,201,1,1/10/2025 6:46,1,1,RFID,4.5,3,E2806F122000C9024150AEE1,VNE1459,4.5,,75.5,
24,202,K06,201,1,1/10/2025 6:47,1,1,RFID,4.5,3,E280110520007396E22C0A55,VJD1874,4.5,,432.3,
25,202,K06,201,1,1/10/2025 6:47,1,1,RFID,4.5,3,E2806F1220007F024223D720,JRW6465,4.5,,14.99,
26,202,K06,201,1,1/10/2025 6:48,1,1,RFID,4.5,3,E280110520007055C9580A55,RAG2001,4.5,,75.5,
27,202,K06,201,1,1/10/2025 6:49,1,1,RFID,4.5,3,E280110520007386C67F0A55,JPN1376,4.5,,75.5,
28,202,K06,201,1,1/10/2025 6:50,1,1,RFID,4.5,3,E2806F122000FF02423DD037,JQN6557,4.5,,75.5,
29,202,K06,204,1,1/10/2025 6:50,1,1,RFID,9.9,3,E2806F122000320241312BB6,JVT9442,9.9,,229.31,
30,202,K06,201,1,1/10/2025 6:53,1,1,RFID,4.5,3,E2801105200072C2C5BE0A55,JVR8726,4.5,,75.5,
31,202,K06,203,1,1/10/2025 6:54,1,1,RFID,5.6,3,E2806F122000DC02424ECAE1,BNP313,5.6,,215.06,
